,unixtime,location,currency,buy_price,buy_quantity,sell_price,sell_quantity
15,1578430382.7,AUXSG,EUR,45240,0.943,45430,1.906
16,1578430382.7,AGXZU,USD,590,7.463,592,4.999
17,1578430382.7,AGXZU,GBP,448,54.201,450,0.543
18,1578430382.7,AGXZU,EUR,525,9.996,528,55.182
19,1578430382.7,AGXLN,USD,590,27.263,591,1.996
20,1578430382.7,AGXLN,GBP,448,54.435,450,3.318
21,1578430382.7,AGXLN,EUR,528,41.732,531,14.965
22,1578430382.7,AGXTR,USD,589,27.225,595,0.623
23,1578430382.7,AGXTR,GBP,448,26.231,456,26.861
24,1578430382.7,AGXTR,EUR,528,26.708,536,6.23
25,1578430382.7,AGXSG,USD,590,7.463,595,0.093
26,1578430382.7,AGXSG,GBP,448,26.231,455,21.349
27,1578430382.7,AGXSG,EUR,528,26.708,535,3
28,1578430382.7,PTXLN,USD,31060,0.638,31330,0.654
